,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
monkey,0.983134388923645,0.0229556374251842,0.9577256441116332,0.4194603562355041,0.6853692531585693,0.0232044346630573,0.9505126476287842,0.0521598830819129,0.3745433986186981,0.0595468245446682,0.0316938124597072,0.686439037322998,0.1055167242884635,0.5700863003730774,0.1889059543609619,0.9593660831451416,0.992751955986023,0.0326281189918518,0.0192907489836215,0.974901795387268,0.9463406801223756,0.471491664648056,0.9566742777824402,0.9464630484580994,0.0484668128192424,0.0152122480794787,0.0277633778750896,0.9924511313438416,0.9517159461975098,0.0380507260560989,0.0186562798917293,0.0276249498128891,0.084611490368843,0.8213017582893372,0.0215932186692953,0.8753322958946228,0.0228321719914674,0.0353556387126445,0.4842140674591064,0.3117329478263855,0.542974591255188,0.988520324230194,0.0185828022658824,0.0310457665473222,0.7998367547988892,0.0249971020966768,0.0239278562366962,0.7007547616958618,0.0912389606237411,0.1201870366930961,0.0330763310194015,0.0210622567683458,0.0279523190110921,0.8742031455039978,0.0593719035387039,0.824920117855072,0.1647361069917678,0.993054211139679,0.0553581118583679,0.0167174991220235,0.094496801495552,0.0852137953042984,0.7197268605232239,0.0320843122899532
beaver,0.0351301617920398,0.0222072601318359,0.9776405096054076,0.5976848006248474,0.9736087322235109,0.1522817015647888,0.9237560033798218,0.0593147426843643,0.983741044998169,0.0369671210646629,0.0354574881494045,0.0367628708481788,0.99350243806839,0.1350839585065841,0.0452776178717613,0.4309348464012146,0.9712200164794922,0.4697636067867279,0.0747787058353424,0.7585217952728271,0.1453679502010345,0.2769553959369659,0.940775454044342,0.9690794944763184,0.7052705883979797,0.1076672077178955,0.7571895122528076,0.7891443371772766,0.851563572883606,0.5937985777854919,0.0717732384800911,0.2889480590820312,0.5351205468177795,0.1761793941259384,0.1158505156636238,0.1281982660293579,0.4814566075801849,0.0450663529336452,0.9701837301254272,0.1130007281899452,0.0839077606797218,0.0312720909714698,0.991200029850006,0.2719293534755707,0.9909449815750122,0.0288335625082254,0.1810138970613479,0.1367648690938949,0.049560509622097,0.0939406380057334,0.9708378314971924,0.9833359718322754,0.0536350309848785,0.3247381448745727,0.0765139907598495,0.24425008893013,0.0393674373626709,0.9174847602844238,0.0917196050286293,0.5464473366737366,0.3799972534179687,0.9896700978279114,0.0713100954890251,0.174940824508667
bison,0.0457126647233963,0.4355625808238983,0.0222060568630695,0.9657498002052308,0.9079657196998596,0.0507774427533149,0.9552927613258362,0.1830564886331558,0.9902223348617554,0.2299849987030029,0.0411691665649414,0.1877185404300689,0.139623761177063,0.100992776453495,0.0281615238636732,0.0317520126700401,0.9699557423591614,0.0721528306603431,0.0369714945554733,0.2875191569328308,0.9823644161224364,0.0262742843478918,0.9261266589164734,0.9093350172042848,0.1967865973711013,0.9879462122917176,0.1269498616456985,0.880985677242279,0.921005129814148,0.0839180797338485,0.1709944605827331,0.7621467709541321,0.0697301849722862,0.907698094844818,0.0743597298860549,0.0314722023904323,0.1262031644582748,0.1553121358156204,0.2181928604841232,0.814854621887207,0.9877532124519348,0.9826364517211914,0.1560618281364441,0.0435049198567867,0.0532633662223815,0.019016932696104,0.2077174186706543,0.0633802413940429,0.0319365821778774,0.2221328318119049,0.4570864737033844,0.98987877368927,0.0413340330123901,0.3745927214622497,0.0965772867202758,0.0325700640678405,0.0367128662765026,0.0579757466912269,0.0688430070877075,0.9938399195671082,0.3789605498313904,0.0498221553862094,0.0266213398426771,0.948373794555664
dromedary,0.0522284992039203,0.2440839856863021,0.0176982078701257,0.9681723117828368,0.9858396053314208,0.1927266865968704,0.9500779509544371,0.0302498713135719,0.9874087572097778,0.3319103419780731,0.5425981283187866,0.0891133621335029,0.0250438619405031,0.0310849230736494,0.0756834670901298,0.60943204164505,0.908920168876648,0.854665994644165,0.1538645625114441,0.0637447237968444,0.9465773105621338,0.0756750777363777,0.1634134352207183,0.2348300665616989,0.8195729851722717,0.4392000138759613,0.027019627392292,0.9238579273223876,0.9771486520767212,0.0523526147007942,0.0536822080612182,0.0474875122308731,0.0424231775104999,0.9841015934944152,0.1153753325343132,0.0711544826626777,0.9794965386390686,0.0306694209575653,0.0300159938633441,0.8567233085632324,0.992801070213318,0.1064084097743034,0.0536396168172359,0.2620684504508972,0.4818229079246521,0.9822263717651368,0.0956400409340858,0.0302697364240884,0.127870500087738,0.0584739297628402,0.9824405312538148,0.6142972707748413,0.3796367943286896,0.0338943228125572,0.9287169575691224,0.1466850936412811,0.9548711776733398,0.0850223749876022,0.2513597011566162,0.9956070780754088,0.0326841510832309,0.0221260022372007,0.964574694633484,0.0148085681721568
squirrel,0.4430305957794189,0.0353819280862808,0.9774446487426758,0.9370357394218444,0.9553667306900024,0.0445173904299736,0.9448893666267396,0.3355154395103454,0.2997090518474579,0.076860137283802,0.076820008456707,0.3297180831432342,0.9905604720115662,0.0847647413611412,0.0200923569500446,0.6407148838043213,0.9736527800559998,0.0591985173523426,0.0287804827094078,0.0306863393634557,0.1289362013339996,0.9907602071762084,0.8984171152114868,0.974033772945404,0.2134432792663574,0.1369835436344146,0.2999045252799988,0.9351209402084352,0.9795371294021606,0.2780842185020447,0.3829652965068817,0.3481752872467041,0.0629426091909408,0.2058417946100235,0.3527053296566009,0.0319992005825042,0.2372830510139465,0.0810189321637153,0.0626160204410553,0.8542957901954651,0.0554489381611347,0.0386879295110702,0.991314709186554,0.6781268119812012,0.045190043747425,0.0584176145493984,0.0768598839640617,0.32241091132164,0.8321066498756409,0.0654538497328758,0.11569794267416,0.1533386409282684,0.0713518559932708,0.0301101263612508,0.025208881124854,0.4794428944587707,0.0375436171889305,0.979590654373169,0.0302799455821514,0.2393982410430908,0.6698505282402039,0.993656039237976,0.9735785722732544,0.026841664686799
hedgehog,0.0605659000575542,0.0219952315092086,0.9699909687042236,0.5083286166191101,0.9731167554855348,0.6007233262062073,0.2913433015346527,0.0306776948273181,0.6472939848899841,0.3404144644737243,0.9891886711120604,0.9897241592407228,0.1880058497190475,0.0473209284245967,0.0212794952094554,0.94294536113739,0.9758049845695496,0.0182285048067569,0.971106231212616,0.230464905500412,0.5114858746528625,0.5928760766983032,0.8884232044219971,0.9109717607498168,0.0830633789300918,0.1032998263835907,0.928170382976532,0.0223231371492147,0.7597060203552246,0.0606099963188171,0.0338646881282329,0.1967590898275375,0.9837875366210938,0.6335404515266418,0.0337978340685367,0.0536041148006916,0.0522450506687164,0.0158199500292539,0.0112653197720646,0.0706633329391479,0.8011702299118042,0.9711326360702516,0.9916410446166992,0.975409209728241,0.0859900042414665,0.0447606034576892,0.0345090329647064,0.2017784267663955,0.6811270117759705,0.0260082576423883,0.0322834029793739,0.8949864506721497,0.2969924509525299,0.0351083241403102,0.026061076670885,0.0335847623646259,0.0978719890117645,0.0562896803021431,0.0992859974503517,0.0697843730449676,0.4371191263198852,0.9946759939193726,0.9294061660766602,0.0653517469763755
donkey,0.1096426770091056,0.9911985993385316,0.158830776810646,0.9679208397865297,0.941231906414032,0.9893652200698853,0.9184982776641846,0.0364141017198562,0.0417595580220222,0.0742036774754524,0.3788497149944305,0.6231801509857178,0.0743221268057823,0.0658473670482635,0.9091359376907348,0.6436181664466858,0.9736050963401794,0.9504648447036744,0.6195554137229919,0.1007389351725578,0.7908127307891846,0.1478990316390991,0.1078251525759697,0.9902154207229614,0.2020154297351837,0.1845739334821701,0.048660784959793,0.9663864970207214,0.9832187294960022,0.4572804272174835,0.1055878251791,0.1650339066982269,0.1993045657873153,0.9609739780426024,0.050253789871931,0.2794404625892639,0.0816256627440452,0.0565570928156375,0.0157703962177038,0.0355387739837169,0.9609788060188292,0.1506223529577255,0.2668002247810364,0.0250253807753324,0.0830215513706207,0.9782147407531738,0.0602701790630817,0.0814565792679786,0.0400626510381698,0.3173591196537018,0.047777485102415,0.0358465500175952,0.047073271125555,0.0331660918891429,0.627149224281311,0.6066024303436279,0.0690753459930419,0.1672719568014145,0.9746487736701964,0.1237793862819671,0.3172557353973388,0.0455242618918418,0.0530051998794078,0.0260468423366546
giraffe,0.0540127381682395,0.036012802273035,0.0196120459586381,0.9600052833557128,0.97087424993515,0.9455273747444152,0.9799361228942872,0.0673689618706703,0.9822039604187012,0.0693317055702209,0.0684524253010749,0.2028798460960388,0.0962788537144661,0.0678525865077972,0.0785253196954727,0.0490015260875225,0.9716584086418152,0.1504409462213516,0.977971613407135,0.0223091654479503,0.2164816856384277,0.0753156319260597,0.9814079403877258,0.9785889387130736,0.5827676057815552,0.2182698994874954,0.0471214018762111,0.7702854871749878,0.8626479506492615,0.0767783895134925,0.1741262823343277,0.2026355862617492,0.0490638278424739,0.0379961393773555,0.0811316519975662,0.5495702624320984,0.0423204153776168,0.0822937488555908,0.0870936065912246,0.410165011882782,0.8769005537033081,0.0395423658192157,0.0337535701692104,0.0414708778262138,0.9553182125091552,0.9700793623924256,0.1160657554864883,0.5935479402542114,0.0445597395300865,0.3689247369766235,0.2345621585845947,0.8406110405921936,0.0556377880275249,0.7597706317901611,0.9792247414588928,0.1399946212768554,0.9553654193878174,0.8959783315658569,0.6850131750106812,0.9881874918937684,0.1577172577381134,0.0380423069000244,0.791804850101471,0.0993880853056907
hamster,0.0237200278788805,0.0961249992251396,0.9911372661590576,0.9839366674423218,0.98874694108963,0.248500570654869,0.9463906288146972,0.0417429618537426,0.9789633750915528,0.2563207745552063,0.1575570255517959,0.5306700468063354,0.125205859541893,0.0150193748995661,0.0904718860983848,0.9915736317634584,0.026390990242362,0.1087391898036003,0.903921365737915,0.4094622135162353,0.0309854745864868,0.0584531389176845,0.9758023619651794,0.9632651209831238,0.0213227272033691,0.5465599298477173,0.0268214084208011,0.1183023527264595,0.9921382069587708,0.4675464928150177,0.2032192498445511,0.0706999823451042,0.1066513583064079,0.0410869903862476,0.4195117056369781,0.082706294953823,0.1343889087438583,0.0768453925848007,0.9657750129699708,0.644265353679657,0.1440042108297348,0.0704342052340507,0.90423321723938,0.3651601374149322,0.051610130816698,0.0257133319973945,0.0717617273330688,0.0608198270201683,0.0438735820353031,0.0546726584434509,0.0307133253663778,0.0456409230828285,0.0647400468587875,0.5767875909805298,0.0458660274744033,0.0279421135783195,0.3772613406181335,0.8540313243865967,0.1765100359916687,0.0504956059157848,0.0819674953818321,0.0279282387346029,0.9684076905250548,0.020124303176999
deer,0.0509061031043529,0.0262202080339193,0.0238425135612487,0.9427014589309692,0.3172349035739898,0.0888077840209007,0.984716534614563,0.0479017160832881,0.9884422421455384,0.1061350628733635,0.0377458930015563,0.1120570749044418,0.0382018238306045,0.4464887678623199,0.0512587577104568,0.0249921567738056,0.992417573928833,0.6257014870643616,0.164559856057167,0.0312776938080787,0.1795765906572342,0.277435839176178,0.9924192428588868,0.9863871335983276,0.3984547555446625,0.0300966892391443,0.2213889509439468,0.9655240178108216,0.9714075326919556,0.2233423888683319,0.8247392773628235,0.0469196625053882,0.1573634892702102,0.0365894734859466,0.0278617888689041,0.0660577937960624,0.1896538287401199,0.0591072179377079,0.0438474081456661,0.2405199855566024,0.9909090399742126,0.0579086057841777,0.4581958353519439,0.121974304318428,0.0680561736226081,0.0600669905543327,0.0895900502800941,0.7544530630111694,0.0347737669944763,0.9549424648284912,0.0970497727394104,0.1567505449056625,0.025411220267415,0.9823022484779358,0.0821281000971794,0.0396431684494018,0.0386381559073925,0.2837461233139038,0.0322664305567741,0.8679749965667725,0.8652483820915222,0.976314127445221,0.0389713756740093,0.1432462483644485
dog,0.3234811723232269,0.0767886638641357,0.9909884333610536,0.9915908575057985,0.1076371818780899,0.268505334854126,0.9419940710067748,0.1925054490566253,0.0265584383159875,0.026865666732192,0.1845593899488449,0.9462053179740906,0.0295714288949966,0.0699432343244552,0.8894721865653992,0.9943511486053468,0.1841133683919906,0.0822684913873672,0.0293332561850547,0.0402069874107837,0.543488621711731,0.0249419584870338,0.9913510084152222,0.350499540567398,0.7624109983444214,0.024055890738964,0.0157198291271924,0.9924595952033995,0.9928828477859496,0.971481442451477,0.0848106816411018,0.0587116442620754,0.6364848613739014,0.2236534357070922,0.0384357273578643,0.1454356461763382,0.0460943542420864,0.0197644177824258,0.1123574376106262,0.3114398419857025,0.045672595500946,0.981383502483368,0.1121931076049804,0.2372712641954422,0.2533641755580902,0.033138632774353,0.0408796668052673,0.3087274730205536,0.0225584227591753,0.0568550564348697,0.2632144093513489,0.0288539323955774,0.0316917523741722,0.2690642774105072,0.2434117347002029,0.056873183697462,0.7811982035636902,0.0220702849328517,0.9897039532661438,0.0778806507587432,0.2322064936161041,0.0184956789016723,0.0190376620739698,0.0952558517456054
polar_bear,0.0873756557703018,0.019362598657608,0.989954113960266,0.937574565410614,0.0184921212494373,0.1921562254428863,0.7045731544494629,0.1376105695962906,0.9752064347267152,0.0588554106652736,0.990279734134674,0.1172749921679496,0.0411923080682754,0.0944553539156913,0.0278696902096271,0.1157991141080856,0.0165056530386209,0.0450549274682998,0.0756054669618606,0.0389540456235408,0.0494822524487972,0.047658298164606,0.4573237895965576,0.9316743612289428,0.0808615982532501,0.5757427215576172,0.0559301264584064,0.4536908566951751,0.9706010818481444,0.057384930551052,0.0348724760115146,0.2093731313943863,0.1014025881886482,0.0523554645478725,0.2348316609859466,0.3380106687545776,0.0245312172919511,0.1106199100613594,0.0414527058601379,0.8300583362579346,0.988243579864502,0.98492032289505,0.5986670851707458,0.0501430258154869,0.9851917028427124,0.033249594271183,0.0512236505746841,0.3028449714183807,0.3383589684963226,0.0899652764201164,0.9574894309043884,0.9881546497344972,0.0870329961180687,0.6007558703422546,0.9703531861305236,0.9864739179611206,0.4482499957084656,0.6487916111946106,0.0256844069808721,0.9798784255981444,0.0416985712945461,0.974235475063324,0.4400166571140289,0.0326183810830116
kangaroo,0.5027128458023071,0.0084500201046466,0.0261593535542488,0.9678510427474976,0.9791371822357178,0.0497889444231987,0.9652867317199708,0.0611570067703723,0.1155596449971199,0.0630859807133674,0.0784589424729347,0.0630964562296867,0.9781528115272522,0.0313099361956119,0.0401505939662456,0.9885931015014648,0.7692279815673828,0.9568591117858888,0.0498353727161884,0.0350346788763999,0.0714726746082305,0.6653192043304443,0.9883644580841064,0.9872490763664246,0.1405718773603439,0.022107845172286,0.0543788410723209,0.1281286925077438,0.8216304183006287,0.1716883331537246,0.2106615751981735,0.5335786938667297,0.5413891077041626,0.9915278553962708,0.2706786096096039,0.9930659532546996,0.0521769002079963,0.0488545559346675,0.0625482946634292,0.9100720286369324,0.9789532423019408,0.3730671405792236,0.0868166014552116,0.0404825396835804,0.9926875829696656,0.0512876063585281,0.0691083595156669,0.0441358536481857,0.0414355807006359,0.5084238648414612,0.0517360903322696,0.1013585925102233,0.0403082855045795,0.0230031833052635,0.9371103644371032,0.0388264507055282,0.0414539575576782,0.2023738473653793,0.0302496906369924,0.9954402446746826,0.1053361445665359,0.9715869426727296,0.6509696245193481,0.0306893736124038
